"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Framework Hardening","0","Reporting Insights","1","0","Executive overview","0"
"3","Framework Hardening","0","Allure Categories Demo","0","0","Broken Tests","0"
"0","Framework Hardening","0","Reporting Insights","1","0","Environment metadata","0"
"1","Framework Hardening","2","Allure Categories Demo","0","0","Flaky Tests","0"
"0","Framework Hardening","0","Reporting Insights","1","0","Categories","0"
"0","Framework Hardening","3","Allure Categories Demo","0","0","Product Defects","0"
"0","Framework Hardening","0","Allure Categories Demo","3","0","Passing Tests","0"
"0","Framework Hardening","0","Allure Categories Demo","0","2","Skipped Tests","0"
"0","Framework Hardening","1","Allure Categories Demo","0","0","","0"
